RA;Código_turma;Nome_Disciplina
11201722322;NA1MCZA035-17SA;ALGORITMOS PROBABILÍSTICOS
11201722322;NA1MCTB008-17SA;CÁLCULO DE PROBABILIDADE
11201722344;NA1ESZI027-17SA;INFORMAÇÃO E SOCIEDADE
11201722344;NB1BCK0103-15SA;FÍSICA QUÂNTICA
11201722358;NA1ESTO016-17SB;FENÔMENOS DE TRANSPORTE
11201722358;NA1ESZG012-17SB;PROJETOS INDUSTRIAIS
11201722358;NA1ESZG010-17SB;PLANEJAMENTO E CONTROLE DE PROJETOS
11201722358;DA1ESTG017-17SB;INTRODUÇÃO AOS PROCESSOS DE FABRICAÇÃO METAL MECÂNICO
11201722358;DA1ESGE001-23SB;ENGENHARIA DE SEGURANÇA DO TRABALHO
11201722360;DA1ESTG014-17SB;PLANEJAMENTO E CONTROLE DA PRODUÇÃO
11201722360;NA1ESTG003-17SB;ECONOMIA DE EMPRESAS
11201722360;NA1ESTG005-17SB;ENGENHARIA ECONÔMICA APLICADA A SISTEMAS DE GESTÃO
11201722361;NA1ESHC034-21SB;ECONOMIA DO MEIO AMBIENTE
11201722361;NA1ESHC003-17SB;DESENVOLVIMENTO SOCIOECONÔMICO
11201722361;NA1ESHC016-17SB;FINANÇAS CORPORATIVAS
11201722361;NA1BIS0005-15SB;BASES COMPUTACIONAIS DA CIÊNCIA
11201722361;NA1BIS0003-15SB;BASES MATEMÁTICAS
11201722362;NA1ESTU026-17SA;CARACTERIZAÇÃO DE MATRIZES AMBIENTAIS
11201722362;NA1ESTU023-17SA;BIOMAS BRASILEIROS
11201722389;NA1MCZC013-15SB;MEMÓRIA E APRENDIZAGEM
11201722413;DA1ESTG001-17SB;CUSTOS
11201722413;NA1ESTG008-17SB;GERÊNCIA DE ATIVOS
11201722423;NA1NHZ4079-20SA;FILOSOFIA DA QUÍMICA
11201722435;NA1LHE0001-19SB;HISTÓRIA, EUROCENTRISMO E PÓS-COLONIALISMO
11201722435;NA1ESZP026-13SB;MEMÓRIA, IDENTIDADES SOCIAIS E CIDADANIA NAS SOCIEDADES COMPLEXAS CONTEMPORÂNEAS
11201722435;NA1ESHT021-17SB;POLÍTICA URBANA
11201722438;DA1NHH2032-18SB;HISTÓRIA DA FILOSOFIA ANTIGA HELENÍSTICA
11201722438;DA1ESTI003-17SB;TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES
11201722438;NA1BCK0103-15SB;FÍSICA QUÂNTICA
11201722449;DA1NHZ1027-15SA;FARMACOLOGIA
11201722449;NA1ESHR008-21SB;INTEGRAÇÃO REGIONAL - TEORIAS E EXPERIÊNCIAS
11201722449;NA1ESHR016-21SB;SISTEMA FINANCEIRO INTERNACIONAL
11201722449;DA1BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11201722457;NA1MCNC003-23SB;PROCESSAMENTO DE SINAIS NEURAIS
11201722458;NA1BIL0304-15SA;EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA
11201722458;NA1NHT4017-15SA;FUNÇÕES E REAÇÕES ORGÂNICAS
11201722461;NA1ESZE052-17SA;GERAÇÃO DISTRIBUÍDA
11201722464;NA1ESTI003-17SB;TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES
11201722471;NA1ESTS001-17SB;DINÂMICA I
11201722471;NA1ESTA008-17SB;SISTEMAS DE CONTROLE II
11201722484;NA1ESHP014-13SB;INTRODUÇÃO ÀS POLÍTICAS PÚBLICAS
11201722489;NA1ESEN005-23SA;GEOLOGIA GERAL
11201722500;DA1ESHC037-21SB;ECONOMETRIA III
11201722500;NA1ESHC022-17SB;MACROECONOMIA I
11201722500;NA1ESHC034-21SB;ECONOMIA DO MEIO AMBIENTE
11201722523;DA1NHBQ002-22SA;ELETROANALÍTICA E INSTRUMENTAÇÃO EM QUÍMICA
11201722523;DA1NHBQ006-22SA;FÍSICO-QUÍMICA EXPERIMENTAL
11201722523;DA1NHBQ015-22SA;TÉCNICAS ANALÍTICAS DE SEPARAÇÃO
