Código da matéria;Nome da completo matéria;Campus;Horários;Docente teoria;Docente pratica;Arquivo_Origem
DB1BCS0004-25SA;PRÁTICAS EXTENSIONISTAS EM LETRAMENTO DIGITAL;SA;"Prática: terça das 16:00 às 18:00, semanal; quinta das 14:00 às 16:00, semanal";-;CARLA LOPES RODRIGUEZ;Resultados da classificação.pdf
DA1NHPD016-25SA;PRÁTICAS INTERDISCIPLINARES DE OBSERVAÇÃO EM CRECHES, PRÉ-ESCOLAS E ESCOLAS DE ENSINO FUNDAMENTAL - ANOS INICIAIS;SA;"Teoria: terça das 10:00 às 12:00, semanal; sexta das 08:00 às 10:00, semanal";-;ALINE DE OLIVEIRA ROSA;Resultados da classificação.pdf
DA1ESZE073-17SA;QUALIDADE DA ENERGIA ELÉTRICA;SA;"Prática: quarta das 17:00 às 19:00, semanal; sexta das 17:00 às 19:00, semanal";FABIANA APARECIDA DE TOLEDO SILVA;-;Resultados da classificação.pdf
DA1NHZ5014-15SA;QUESTÕES ATUAIS NO ENSINO DE CIÊNCIAS;SA;Teoria: quarta das 10:00 às 12:00, semanal;JOAO RODRIGO SANTOS DA SILVA;-;Resultados da classificação.pdf
DB1NHZ5014-15SA;QUESTÕES ATUAIS NO ENSINO DE CIÊNCIAS;SA;Teoria: quarta das 08:00 às 10:00, semanal;MARIA INES RIBAS RODRIGUES;-;Resultados da classificação.pdf
DA1NHBQ024-22SA;QUIMIOMETRIA;SA;"Prática: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";MONICA BENICIA MAMIAN LOPEZ, BRUNO GUZZO DA SILVA;-;Resultados da classificação.pdf
DA1NHT4050-15SA;QUÍMICA ANALÍTICA CLÁSSICA II;SA;"Teoria: segunda das 08:00 às 10:00, quinzenal I; quarta das 10:00 às 12:00, semanal | Prática: segunda das 08:00 às 10:00, quinzenal II; segunda das 10:00 às 12:00, semanal";PATRICIA DANTONI;PATRICIA DANTONI;Resultados da classificação.pdf
DA1NHBQ013-22SA;QUÍMICA DOS ELEMENTOS;SA;"Teoria: quarta das 08:00 às 10:00, semanal; sexta das 10:00 às 12:00, semanal | Prática: quinta das 08:00 às 12:00, semanal";WAGNER ALVES CARVALHO;KARINA PASSALACQUA MORELLI FRIN;Resultados da classificação.pdf
DA1NHT4040-15SA;QUÍMICA ORGÂNICA APLICADA;SA;Prática: terça das 08:00 às 12:00, semanal;-;JOAO HENRIQUE GHILARDI LAGO;Resultados da classificação.pdf
DA1MCZA023-17SA;REDES CONVERGENTES;SA;"Teoria: segunda das 08:00 às 10:00, semanal; quarta das 10:00 às 12:00, semanal";CARLOS ALBERTO KAMIENSKI;-;Resultados da classificação.pdf
DA1ESZI029-17SA;REDES WAN DE BANDA LARGA;SA;"Teoria: terça das 10:00 às 12:00, quinzenal I; sexta das 08:00 às 10:00, semanal | Prática: terça das 10:00 às 12:00, quinzenal II";AMAURY KRUEL BUDRI;AMAURY KRUEL BUDRI;Resultados da classificação.pdf
DA1NHBP012-23SA;RELATIVIDADE RESTRITA;SA;"Teoria: quarta das 14:00 às 16:00, semanal; sexta das 16:00 às 18:00, semanal";RONALDO SAVIOLI SUME VIEIRA;-;Resultados da classificação.pdf
DA1ESTU032-17SA;REPRESENTAÇÃO GRÁFICA DE PROJETOS AMBIENTAIS E URBANOS;SA;Prática: sexta das 08:00 às 12:00, semanal;-;SILVIA LENYRA MEIRELLES CAMPOS TITOTTO;Resultados da classificação.pdf
DA1ESZU030-17SA;RISCOS NO AMBIENTE URBANO;SA;Teoria: quinta das 08:00 às 12:00, semanal;FRANCISCO DE ASSIS COMARU;FRANCISCO DE ASSIS COMARU;Resultados da classificação.pdf
