BC&T 2023						BC&T 2015 - 2017						BAC. COMPUTAÇÃO 2017						BAC. COMPUTAÇÃO 2023						BAC. DADOS 2024						ENG. IAR  2023						ENG. INFORMAÇÃO 2023						ENG. AERO 2023						ENG. GESTÃO 2023						ENG. MATERIAIS 2023						ENG. AMBIENTAL 2023						BAC. BIOTEC 2023						ENG. BIOMED 2023						ENG. ENERGIA 2023						BAC. NEUROCIÊNCIA 2023						BAC. FÍSICA 2023						BAC. MATEMÁTICA 2023						BAC. QUÍMICA 2023						BAC. BIOLÓGICAS 2023						BC&H 2020						BAC. ECONOMIA 2023						BAC. RI 2022						BAC. POLÍTICAS PÚBLICAS 2023						BAC, PLAN. TERRITORIAL 2022					
OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	Obrigatórias	Limitadas	Livres	Horas Complementares (Preencher)	Extensionistas (Preencher)	Carga total	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL
		INTRODUCAO AS ENGENHARIAS	24					ESTAGIO CURRICULAR EM ENGENHARIA DE GESTAO	0																																																																																																											CIÊNCIAS ATMOSFÉRICAS	48																										
		MATERIAIS E SUAS PROPRIEDADES	48					ESTAGIO CURRICULAR EM ENGENHARIA DE INFORMACAO	0																																																																																																											RECURSOS HÍDRICOS	36																										
		MECANICA DOS FLUIDOS I	48					ESTAGIO CURRICULAR EM ENGENHARIA DE MATERIAIS	0																																																																																																											EDUCAÇÃO AMBIENTAL	48																										
		MECANICA DOS SOLIDOS I	48					ESTAGIO ORIENTADO I	84																																																																																																											RISCOS NO AMBIENTE URBANO	48																										
		TERMODINAMICA APLICADA	48					ESTAGIO ORIENTADO II	84																																																																																																											ECOLOGIA DO AMBIENTE URBANO	24																										
		FUNDAMENTOS DE DESENHO TECNICO	24					ESTAGIO SUPERVISIONADO (NIVEL FUNDAMENTAL) I	80																																																																																																											QUÍMICA AMBIENTAL	24																										
		PRINCIPIOS DE ADMINISTRACAO	24					ESTAGIO SUPERVISIONADO (NIVEL FUNDAMENTAL) II	80																																																																																																											METODOLOGIAS DE PESQUISA EM EDUCAÇÃO	24																										
		ENGENHARIA ECONOMICA	48					ESTAGIO SUPERVISIONADO EM BIOLOGIA I (NIVEL MEDIO)	80																																																																																																											ALGORITMOS E ESTRUTURAS DE DADOS I	48																										
		TERMODINAMICA APLICADA I	48					ESTAGIO SUPERVISIONADO EM BIOLOGIA II (NIVEL MEDIO)	80																																																																																																											COMPUTADORES, ÉTICA E SOCIEDADE	24																										
		MECANICA DOS FLUIDOS I	48					ESTAGIO SUPERVISIONADO EM BIOLOGIA III (NIVEL MEDIO)	80																																																																																																											INTELIGÊNCIA ARTIFICIAL	48																										
		FENOMENOS DE TRANSPORTE	48					ESTAGIO SUPERVISIONADO EM CIENCIAS BIOLOGICAS	20																																																																																																											REDES DE COMPUTADORES	48																										
		METODOS EXPERIMENTAIS EM ENGENHARIA	48					ESTAGIO SUPERVISIONADO EM COMPUTACAO I	96																																																																																																											PROGRAMAÇÃO ESTRUTURADA	48																										
		ENGENHARIA UNIFICADA I	24					ESTAGIO SUPERVISIONADO EM COMPUTACAO II	96																																																																																																											BANCO DE DADOS	48																										
		ENGENHARIA UNIFICADA II	24					ESTAGIO SUPERVISIONADO EM COMPUTACAO III	96																																																																																																											ÁLGEBRA LINEAR	72																										
		AERONAUTICA I-A	48					ESTAGIO SUPERVISIONADO EM FISICA I (NIVEL MEDIO)	56																																																																																																											CÁLCULO DE PROBABILIDADE	48																										
		INTRODUCAO A ASTRONAUTICA	24					ESTAGIO SUPERVISIONADO EM FISICA II (NIVEL MEDIO)	80																																																																																																											MATEMÁTICA DISCRETA	48																										
		DESEMPENHO DE AERONAVES	48					ESTAGIO SUPERVISIONADO EM FISICA III (NIVEL MEDIO)	80																																																																																																											INTRODUÇÃO À FILOSOFIA DA MENTE	24																										
		DINAMICA E CONTROLE DE VEICULOS ESPACIAIS	48					ESTAGIO SUPERVISIONADO EM MATEMATICA I (NIVEL MEDIO)	80																																																																																																											INTRODUÇÃO À NEUROCIÊNCIA	48																										
		ESTABILIDADE E CONTROLE DE AERONAVES	48					ESTAGIO SUPERVISIONADO EM MATEMATICA II (NIVEL MEDIO)	80																																																																																																											PESQUISA E COMUNICAÇÃO CIENTÍFICA	24																										
		VIBRACOES	48					ESTAGIO SUPERVISIONADO EM MATEMATICA III (NIVEL MEDIO)	80																																																																																																											PROGRESSOS E MÉTODOS EM NEUROCIÊNCIA	48																										
		METODOS COMPUTACIONAIS PARA ANALISE ESTRUTURAL	48					ESTAGIO SUPERVISIONADO EM NEUROCIENCIA I	0																																																																																																											PSICOLOGIA COGNITIVA	48																										
		AEROELASTICIDADE	48					ESTAGIO SUPERVISIONADO EM NEUROCIENCIA II	0																																																																																																											NEUROETOLOGIA	48																										
		PROJETO DE ELEMENTOS ESTRUTURAIS DE AERONAVES I	48					ESTAGIO SUPERVISIONADO EM NEUROCIENCIA III	0																																																																																																											HISTÓRIA DA MATEMÁTICA	48																										
		COMBUSTAO I	48					ESTAGIO SUPERVISIONADO EM QUIMICA I (NIVEL MEDIO)	80																																																																																																											ANÁLISE DE REGRESSÃO	48																										
		AERODINAMICA I	48					ESTAGIO SUPERVISIONADO EM QUIMICA II (NIVEL MEDIO)	80																																																																																																											ANÁLISE MULTIVARIADA	48																										
		SISTEMAS DE PROPULSAO I	48					ESTAGIO SUPERVISIONADO EM QUIMICA III (NIVEL MEDIO)	80																																																																																																											GEOMETRIA NÃO EUCLIDIANA	48																										
		TRANSFERENCIA DE CALOR APLICADA A SISTEMAS AEROESPACIAIS	48					ESTAGIO SUPERVISIONADO I	150																																																																																																											INFERÊNCIA ESTATÍSTICA	48																										
		DINAMICA DE GASES	72					ESTAGIO SUPERVISIONADO II	150																																																																																																											INTRODUÇÃO À ESTATÍSTICA BAYESIANA	48																										
		TRABALHO DE GRADUACAO I EM ENGENHARIA AEROESPACIAL	24					ESTATISTICA APLICADA A SISTEMAS DE GESTAO	48																																																																																																											INTRODUÇÃO À MODELAGEM E PROCESSOS ESTOCÁSTICOS	48																										
		TRABALHO DE GRADUACAO II EM ENGENHARIA AEROESPACIAL	24					ESTRUTURA ATOMICA E MOLECULAR	48																																																																																																											METATEOREMAS DA LÓGICA CLÁSSICA	48																										
		TRABALHO DE GRADUACAO III EM ENGENHARIA AEROESPACIAL	24					ESTRUTURA DA MATERIA AVANCADA	72																																																																																																											TEORIA DOS JOGOS	48																										
		ESTAGIO CURRICULAR EM ENGENHARIA AEROESPACIAL	168					ESTRUTURA DE DADOS I	48																																																																																																											TEORIA DAS FILAS	48																										
		ANALISE DE SISTEMAS E MODELAGEM AMBIENTAL	24					ESTUDOS DE GENERO	36																																																																																																											FILOSOFIA DA MATEMÁTICA	48																										
		CARTOGRAFIA E GEOPROCESSAMENTO	48					ESTUDOS DO MEIO FISICO	48																																																																																																											INTRODUÇÃO À PSICOLINGUÍSTICA E NEUROCIÊNCIA DA LINGUAGEM	48																										
		CLIMATOLOGIA	36					ESTUDOS ETNICO-RACIAIS	36																																																																																																											ERGONOMIA COGNITIVA	48																										
		GEOTECNIA	48					ETICA E JUSTICA	48																																																																																																											NEUROARTE	24																										
		HIDROLOGIA	48					ETICA E RESPONSABILIDADE SOCIAL	24																																																																																																											TOMADA DE DECISÕES E NEUROECONOMIA	48																										
		MICROBIOLOGIA AMBIENTAL	48					ETICA PROFISSIONAL	36																																																																																																											SENSAÇÃO E PERCEPÇÃO	48																										
		PLANEJAMENTO URBANO E METROPOLITANO	48					EVOLUCAO	48																																																																																																											ESTÁGIO SUPERVISIONADO EM FILOSOFIA I	96																										
		POLUICAO ATMOSFERICA	36					EVOLUCAO DA FISICA	48																																																																																																											ESTÁGIO SUPERVISIONADO EM FILOSOFIA II	96																										
		SAUDE AMBIENTAL	24					EVOLUCAO DOS CONCEITOS MATEMATICOS	48																																																																																																											ESTÁGIO SUPERVISIONADO EM FILOSOFIA IV	72																										
		SISTEMAS DE ABASTECIMENTO DE AGUAS	48					EVOLUCAO E DIVERSIDADE DE PLANTAS I	48																																																																																																											ESTÁGIO SUPERVISIONADO EM FILOSOFIA V	72																										
		TEORIA DO PLANEJAMENTO URBANO E AMBIENTAL	36					EVOLUCAO E DIVERSIDADE DE PLANTAS II	72																																																																																																											ESTÉTICA	48																										
		TRANSFERENCIA DE MASSA	48					EXPERIMENTACAO E ENSINO DE QUIMICA	36																																																																																																											ESTÉTICA: PERSPECTIVAS CONTEMPORÂNEAS	48																										
		TRANSPORTES E MOBILIDADE URBANA	24					EXTENSOES ALGEBRICAS	48																																																																																																											ÉTICA	48																										
		BIOMAS BRASILEIROS	36					FARMACOLOGIA	72																																																																																																											ÉTICA: PERSPECTIVAS CONTEMPORÂNEAS	48																										
		CARACTERIZACAO DE MATRIZES AMBIENTAIS	36					FENOMENOS DE TRANSPORTE	48																																																																																																											FENOMENOLOGIA E FILOSOFIA HERMENÊUTICA	48																										
		FUNDAMENTOS DE GEOLOGIA PARA ENGENHARIA	36					FILOSOFIA DA CIENCIA: O DEBATE POPPER-KUHN E SEUS DESDOBRAMENTOS	48																																																																																																											FILOSOFIA DA CIÊNCIA: EM TORNO À CONCEPÇÃO ORTODOXA	48																										
		HIDRAULICA DE CONDUTOS FORCADOS	36					FILOSOFIA DA EDUCACAO	48																																																																																																											FILOSOFIA DA CIÊNCIA: O DEBATE POPPER-KUHN E SEUS DESDOBRAMENTOS	48																										
		HIDRAULICA DE CONDUTOS LIVRES	24					FILOSOFIA DA RELIGIAO	36																																																																																																											FILOSOFIA DA EDUCAÇÃO	48																										
		RECUPERACAO DE AREAS DEGRADADAS	36					FISICA COMPUTACIONAL	48																																																																																																											FILOSOFIA DA LINGUAGEM	48																										
		REPRESENTACAO GRAFICA DE PROJETOS AMBIENTAIS E URBANOS	48					FISICA DO CONTINUO	48																																																																																																											FILOSOFIA DA LÓGICA	48																										
		SISTEMAS DE ESGOTAMENTO SANITARIO	36					FISICA DO MEIO AMBIENTE	48																																																																																																											FILOSOFIA DO ENSINO DE FILOSOFIA	48																										
		SISTEMAS DE DRENAGEM URBANA	36					FISICA MEDICA I	48																																																																																																											FILOSOFIA NO BRASIL E NA AMÉRICA LATINA	48																										
		SISTEMAS DE TRATAMENTO DE AGUA	36					FISICA MEDICA II	24																																																																																																											FILOSOFIA POLÍTICA	48																										
		TRATAMENTO DE AGUAS URBANAS SERVIDAS	36					FISICA ONDULATORIA	48																																																																																																											FILOSOFIA POLÍTICA: PERSPECTIVAS CONTEMPORÂNEAS	48																										
		REGULACAO AMBIENTAL E URBANISTICA	24					FISICA TERMICA	48																																																																																																											HISTÓRIA DA FILOSOFIA ANTIGA: ARISTÓTELES E O ARISTOTELISMO	48																										
		PROJETO AMBIENTAL URBANO	48					FISICO-QUIMICA EXPERIMENTAL	72																																																																																																											HISTÓRIA DA FILOSOFIA ANTIGA: PLATÃO E O PLATONISMO	48																										
		TRABALHO DE GRADUACAO I EM ENGENHARIA AMBIENTAL E URBANA	24					FLORESTA AMAZONICA	72																																																																																																											HISTÓRIA DA FILOSOFIA CONTEMPORÂNEA: O SÉCULO XIX	48																										
		TRABALHO DE GRADUACAO II EM ENGENHARIA AMBIENTAL E URBANA	24					FONTES NAO-RENOVAVEIS DE ENERGIA	48																																																																																																											HISTÓRIA DA FILOSOFIA CONTEMPORÂNEA: O SÉCULO XX	48																										
		TRABALHO DE GRADUACAO III EM ENGENHARIA AMBIENTAL E URBANA	24					FONTES RENOVAVEIS DE ENERGIA	48																																																																																																											HISTÓRIA DA FILOSOFIA MODERNA: O ILUMINISMO E SEUS DESDOBRAMENTOS	48																										
		ESTAGIO CURRICULAR EM ENGENHARIA AMBIENTAL E URBANA	168					FORMACAO DO BRASIL CONTEMPORANEO	24																																																																																																											HISTÓRIA DA FILOSOFIA MODERNA: PERSPECTIVAS RACIONALISTAS	48																										
		RESIDUOS SOLIDOS	36					FORMACAO DO SISTEMA INTERNACIONAL	48																																																																																																											HISTORIOGRAFIA E HISTÓRIA DAS CIÊNCIAS	48																										
		INTRODUCAO A GEOLOGIA DE ENGENHARIA	48					FOTONICA	48																																																																																																											PROBLEMAS METAFÍSICOS: PERSPECTIVAS CONTEMPORÂNEAS	48																										
		AVALIACAO DE IMPACTOS AMBIENTAIS	36					FUNCOES COMPLEXAS E TRANSFORMADAS INTEGRAIS	48																																																																																																											PROBLEMAS METAFÍSICOS: PERSPECTIVAS MODERNAS	48																										
		DINAMICA I	36					FUNCOES DE VARIAVEIS COMPLEXAS	72																																																																																																											TEORIA DO CONHECIMENTO: A EPISTEMOLOGIA CONTEMPORÂNEA	48																										
		LABORATORIO DE GUIAGEM, NAVEGACAO E CONTROLE	48					FUNCOES E REACOES ORGANICAS	48																																																																																																											TEORIA DO CONHECIMENTO: EMPIRISMO VERSUS RACIONALISMO	48																										
		TECNICAS DE ANALISE ESTRUTURAL E PROJETO	36					FUNDAMENTOS DA BIOTECNOLOGIA	24																																																																																																											ESTÁGIO SUPERVISIONADO EM FILOSOFIA III	72																										
		MAQUINAS DE FLUXO	48					FUNDAMENTOS DA ECONOMIA	48																																																																																																											TRABALHO DE CONCLUSÃO DE CURSO EM FILOSOFIA	0																										
		MECANICA DOS FLUIDOS VISCOSOS	48					FUNDAMENTOS DE ALGEBRA	48																																																																																																											TRABALHO DE CONCLUSÃO DE CURSO EM FILOSOFIA	1																										
		ESCOAMENTO COMPRESSIVEL	48					FUNDAMENTOS DE ANALISE	48																																																																																																											FILOSOFIA DA ARTE	48																										
		INSTRUMENTACAO BIOMEDICA	60					FUNDAMENTOS DE CONVERSAO DE ENERGIA ELETRICA	48																																																																																																											HISTÓRIA DA FILOSOFIA MEDIEVAL: DO SÉCULO IV AO X	48																										
		EFEITOS BIOLOGICOS DAS RADIACOES NAO IONIZANTES	48					FUNDAMENTOS DE DESENHO E PROJETO	48																																																																																																											HISTÓRIA DA FILOSOFIA MEDIEVAL: DO SÉCULO XI AO XIV	48																										
